global_step,correct,similar,incorrect,train_loss,eval_loss
319,2592,29,778,0.04926701635122299,-3.1276500146713615
638,2603,47,749,0.5409577488899231,-4.733292987089202
957,2595,56,748,0.06238818168640137,-5.048965669014085
1276,2591,61,747,0.0928821861743927,-6.049479166666667
1595,2581,69,749,0.0025777220726013184,-6.582214642018779
1914,2588,65,746,0.0002991507644765079,-6.321394512910798
2000,2587,64,748,0.0048482343554496765,-7.152618838028169
2233,2591,62,746,0.0015426799654960632,-7.194945715962441
2552,2590,62,747,0.000995958806015551,-7.305641138497653
2871,2595,58,746,0.07064786553382874,-7.838725058685446
3190,2596,58,745,2.936522287200205e-05,-7.68421728286385
3509,2588,63,748,0.11614368855953217,-6.884426349765258
3828,2595,56,748,0.07485079765319824,-7.545407863849765
4000,2598,54,747,0.0024964027106761932,-7.623734595070423
4147,2599,52,748,2.3573637008666992e-05,-7.879474765258216
4466,2600,51,748,0.053029172122478485,-7.949952318075117
4785,2594,55,750,0.00012802580022253096,-8.03018632629108
5104,2593,57,749,0.00011593599629122764,-7.785651408450704
5423,2594,55,750,2.5957822799682617e-05,-8.0170371185446
5742,2596,53,750,1.3877948731533252e-05,-8.141468603286384
6000,2600,50,749,0.11277469992637634,-7.862731073943662
6061,2599,52,748,0.06075337156653404,-8.182401701877934
6380,2593,55,751,0.00013410548854153603,-8.162320275821596
6699,2595,55,749,0.00010061015200335532,-8.311142899061032
7018,2594,57,748,7.938593626022339e-05,-8.200777582159624
7337,2595,56,748,0.09240490198135376,-8.382409037558686
7656,2602,50,747,3.938873760489514e-06,-8.488482981220658
7975,2599,51,749,0.07717517763376236,-8.397924002347418
8000,2597,53,749,1.0600313544273376e-05,-8.411715082159624
8294,2593,56,750,7.60952661948977e-06,-8.41087147887324
8613,2593,58,748,1.1871257811435498e-05,-8.50044014084507
8932,2595,56,748,4.182010889053345e-05,-8.484631748826292
9251,2596,54,749,9.78757998382207e-06,-8.455985915492958
9570,2597,53,749,1.4317532986751758e-05,-8.48818955399061
